,Category,x
5222,tomatillo,129
1558,,128
1079,cod,127
1160,cookie,127
2779,lime,127
3083,,127
3279,nectar,127
4762,,127
3621,pecorino,126
4698,,126
4734,spaghetti,126
5169,,126
1084,cognac,125
2752,lentil,125
2797,linguine,125
3972,,125
4010,,125
1055,club,124
1210,couscous,124
3277,,124
4492,,124
2373,,123
4207,,123
516,,122
520,,122
1657,endive,122
3547,panko,122
4570,,122
891,chard,121
4023,radicchio,120
2093,,119
3766,,119
5211,tofu,119
5643,,119
2132,,118
2366,,118
357,beer,117
534,,117
2992,marnier,117
3638,penne,117
206,artichoke,116
4301,,116
366,,115
2807,,115
4195,,115
1253,crimini,114
2622,knife,114
4263,,114
812,cashew,113
2510,jelly,113
3764,pizza,113
1423,,112
2535,juice,112
4671,,112
1222,crabmeat,111
3135,miso,111
5502,vine,111
5558,,111
102,,110
2596,kidney,110
2825,lobster,110
5683,,110
2144,grapeseed,108
3063,melon,108
3178,montrachet,108
2192,,107
3219,muffin,107
4508,,107
745,cannellini,106
4193,,106
1005,chutney,105
2960,,105
236,,103
779,caraway,103
1109,com,103
5113,tequila,103
2546,,102
2818,liver,100
3975,,100
4446,,100
4740,,100
736,,99
2171,,99
2086,,98
2321,,98
3486,,98
5548,,98
1668,,97
3010,mascarpone,97
3390,,97
3778,,97
3927,,97
4725,sourdough,97
149,angostura,96
2126,graham,96
4843,,96
531,,95
1294,,95
3134,,95
3694,phyllo,95
5417,,95
183,arborio,94
513,,94
687,cacao,94
1219,crab,94
1293,,94
2140,grape,94
2545,,94
4157,rhubarb,94
323,basmati,93
454,blood,93
4602,,93
4633,,93
4673,,93
910,,92
4744,,92
28,,91
207,artichoke,91
292,bamboo,91
4144,,91
4223,rolled,91
5176,tied,91
5431,using,91
509,bosc,90
2335,hoisin,90
2801,link,90
4889,strained,90
1361,cutter,89
2175,grinder,89
2787,lindt,89
5462,vegetabl,89
1958,fri,88
1993,fully,88
2246,handful,88
551,brand,87
640,bun,87
3261,napa,87
1710,exces,86
2780,lima,86
3661,per,86
4066,rbol,86
4265,ruby,86
4563,shucked,86
5491,vidalia,86
1632,electric,85
2703,latin,85
2866,lump,85
3039,meal,85
39,adjustable,84
511,boston,84
990,chorizo,84
1256,crisp,84
1781,fettuccine,84
3811,polenta,84
4676,snow,84
259,back,83
4597,sirloin,83
1074,cocktail,82
1729,eye,82
3110,mill,82
492,boned,81
1550,dressing,81
2019,garbanzo,81
3191,mortar,81
4281,rye,81
679,button,80
995,choy,80
4262,rubbed,80
4592,simple,80
4869,stirred,80
5343,twist,80
55,agave,79
483,bok,79
660,butcher,79
2417,imported,79
2965,maraschino,79
3551,papaya,79
3682,pestle,79
4483,shaken,79
1089,cointreau,78
5168,three,78
1392,day,77
1843,flank,77
2388,hungarian,77
2816,littleneck,77
3997,quarter,77
4894,strawberry,77
284,ball,76
2727,leaving,76
5294,trout,76
5484,vert,76
2261,haricot,75
2712,layer,75
3847,portobello,75
157,another,74
754,cantaloupe,74
1590,dutch,74
1900,fontina,74
2005,gala,74
4015,quinoa,74
4398,scotch,74
3368,nuoc,73
4792,spring,73
4810,squar,73
5127,than,73
5525,wafer,73
5596,whiskey,73
1240,creamy,72
1352,curly,72
1835,five,72
4622,skirt,72
5685,your,72
275,baked,71
661,butt,71
1565,drumstick,71
1865,fleshed,71
1876,flower,71
2356,honeydew,71
2755,les,71
2990,marmalade,71
3735,pimiento,71
4811,square,71
5500,vinaigrette,71
310,barley,70
577,brewed,70
926,chervil,70
1920,found,70
2079,gizzard,70
2298,heirloom,70
2690,lard,70
5538,warmed,70
5635,without,70
5654,wrapper,70
1957,fresno,69
3096,middle,69
3124,mini,69
3762,pith,69
4608,sized,69
4958,sunflower,69
1245,cremini,68
1896,follow,68
2501,jasmine,68
2828,log,68
3280,nectarin,68
4919,stuffing,68
5554,wax,68
32,added,67
56,aged,67
3925,proces,67
4037,ramekin,67
4106,refrigerated,67
4613,skillet,67
4629,slender,67
2857,lowfat,66
3029,matzo,66
3089,meyer,66
3673,pernod,66
4614,skim,66
5542,wash,66
1360,cutlet,65
1395,debearded,65
1607,eastern,65
2159,greasing,65
2376,hour,65
3589,passion,65
5032,tahini,65
624,brussel,64
1560,drop,64
